,Mintimes,Mintypes,Errors,Units,Data_group,Ecorr,OC,Weights
175,2459716.932522473,,8.438974864391218e-06,,TESS Sector 51_binned,25375.5,-3.7110289778137015e-05,14041729849.34002
176,2459997.52330312,0.0,1.048731231e-05,,This Study,27110.0,-5.7940371334552765e-05,9092254786.981064
177,2460038.45122945,0.0,2.6551950557e-05,,AAVSO,27363.0,-5.444837734103203e-05,1418427486.8890574
178,2460053.49588743,0.0,7.360066103e-06,,This Study,27456.0,-4.7946348786354065e-05,18460207154.386482
179,2460056.569466,0.0,3e-06,,Ždánice ,27475.0,-0.00010784994810819626,111111111111.1111
180,2460069.349345,0.0,1.4e-05,,Ždánice ,27554.0,-9.408406913280487e-05,5102040816.32653
181,2460080.51155645,0.0,1.3159797888e-05,,This Study,27623.0,-4.3408479541540146e-05,5774329487.076561
182,2460088.43828486,0.0,1.5073582204e-05,,AAVSO,27672.0,-6.685219705104828e-05,4401158939.458828
183,2460107.52718586,0.0,1.0614157522e-05,,AAVSO,27790.0,-7.848022505640984e-05,8876238087.612621
184,2460128.395626,0.0,1.3108730215e-05,,This Study,27919.0,-2.5874003767967224e-05,5819407225.374403
185,2460317.66702947,0.0,2.2113519622e-05,,AAVSO,29089.0,-4.4223852455616e-05,2044957364.891618
187,2460332.711779,0.0,1e-05,,Literature,29182.0,5.382765084505081e-05,9999999999.999998
188,2460332.711759,0.0,1e-05,,Literature,29182.0,3.382796421647072e-05,9999999999.999998
189,2460359.56558752,0.0,1.7310878151e-05,,This Study,29348.0,-3.168778494000435e-05,3337042986.5489993
190,2460359.56556921,0.0,8.678357329e-06,,AAVSO,29348.0,-4.9998052418231964e-05,13277763956.197836
191,2460369.59533181,0.0,2.060282115e-05,,This Study,29410.0,-5.505001172423363e-05,2355844467.4252644
192,2460388.522489,0.0,1e-05,,Literature,29527.0,-4.00422140955925e-05,9999999999.999998
193,2460388.522479,0.0,1e-05,,Literature,29527.0,-5.00422902405262e-05,9999999999.999998
194,2460405.50841512,0.0,1.4894641754e-05,,This Study,29632.0,-1.07521191239357e-05,4507542974.656209
195,2460410.52328059,0.0,5.781980309e-06,,This Study,29663.0,-2.910848706960678e-05,29912091688.455727
196,2460411.49388739,0.0,1.785539637e-05,,AAVSO,29669.0,-4.4984277337789536e-05,3136613512.175947
198,2460418.611769,0.0,1e-05,,Literature,29713.0,-6.299791857600212e-05,9999999999.999998
199,2460418.611779,0.0,1e-05,,Literature,29713.0,-5.299784243106842e-05,9999999999.999998
201,2460434.46530517,0.0,2.3014354861e-05,,AAVSO,29811.0,-3.053620457649231e-05,1888001736.9365842
200,2460434.465309,0.0,1e-05,,Literature,29811.0,-2.6706140488386154e-05,9999999999.999998
202,2460434.465309,0.0,1e-05,,Literature,29811.0,-2.6706140488386154e-05,9999999999.999998
204,2460460.348545,0.0,2.8e-05,,Ždánice ,29971.0,-6.206613034009933e-05,1275510204.0816326
205,2460460.510318,0.0,3e-06,,Ždánice ,29972.0,-5.951244384050369e-05,111111111111.1111
206,2460466.495854,0.0,1e-05,,This Study,30009.0,-3.0014198273420334e-05,9999999999.999998
207,2460513.40930155,0.0,1.0196374585e-05,,AAVSO,30299.0,-1.1804047971963882e-05,9618524075.965813
209,2460515.512268,0.0,1e-05,,Literature,30312.0,-6.115250289440155e-05,9999999999.999998
208,2460515.51231235,0.0,1.0623520226e-05,,AAVSO,30312.0,-1.6802456229925156e-05,8860599397.83045
210,2460543.33682419,0.0,1.4173017453e-05,,This Study,30484.0,-2.1674204617738724e-05,4978234567.9744625
213,2460739.564425,0.0,2.9269945047e-05,,Ždánice ,31697.0,2.8138048946857452e-05,1167229313.7256725
214,2460801.36071109,0.0,1.514e-05,,This Study,32079.0,3.855675458908081e-06,4362628675.732791
215,2460831.45006759,0.0,1.536e-05,,This Study,32265.0,5.739973857998848e-05,4238552517.361112
